Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,AVG,90~120 AVG,Jul~Oct,,Grain Production,,,,,,,,,,,,,,,
1998,63.754,31.242,139.446,122.936,155.702,260.604,100.838,92.964,12.192,124.206,64.008,25.4,1193.292,99.441,1,82.55,0,9.76,,,,,,,,,,,,,,,
1999,161.29,90.678,43.434,103.886,95.25,65.278,75.184,38.1,19.05,46.228,17.526,66.294,822.198,68.5165,0,44.6405,0,9.43,,,,,,,,,,,,,,,
2000,52.578,72.644,41.656,96.52,127,115.57,74.93,108.204,122.428,78.232,67.818,70.104,1027.684,85.64033333,0,95.9485,1,9.92,,,,,,,,,,,,,,,
2001,18.796,49.53,16.256,46.228,104.14,113.284,211.836,62.738,118.364,178.054,68.326,76.454,1064.006,88.66716667,0,142.748,1,9.5,,,,,,,,,,,,,,,
2002,62.992,42.418,107.188,138.938,189.484,78.994,41.91,36.068,93.98,67.056,73.406,76.708,1009.142,84.09516667,0,59.7535,0,8.97,,,,,,,,,,,,,,,
2003,32.258,87.63,94.488,64.77,162.306,59.944,203.454,117.856,263.398,68.072,92.456,88.392,1335.024,111.252,1,163.195,1,10.1,,,,,,,,,,,,,,,
2004,118.11,19.558,109.982,39.116,217.17,112.776,196.088,120.142,19.05,109.474,130.556,49.53,1241.552,103.4626667,1,111.1885,1,11.8,,,,,,,,,,,,,,,
2005,238.506,65.786,28.956,119.126,63.754,91.186,75.692,106.68,118.618,41.656,92.456,68.326,1110.742,92.56183333,1,85.6615,0,11.1,,,,,,,,,,,,,,,
2006,83.82,48.006,172.466,92.202,110.236,143.002,101.092,76.454,89.662,138.43,107.95,133.096,1296.416,108.0346667,1,101.4095,1,10.5,,,,,,,,,,,,,,,
2007,112.014,70.358,124.714,83.82,50.038,56.388,48.26,87.122,40.386,71.12,46.99,140.97,932.18,77.68166667,0,61.722,0,13,,,,,,,,,,,,,,,
