Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1998,2.51,1.23,5.49,4.84,6.13,10.26,3.97,3.66,0.48,4.89,2.52,1,46.98
1999,6.35,3.57,1.71,4.09,3.75,2.57,2.96,1.5,0.75,1.82,0.69,2.61,32.37
2000,2.07,2.86,1.64,3.8,5,4.55,2.95,4.26,4.82,3.08,2.67,2.76,40.46
2001,0.74,1.95,0.64,1.82,4.1,4.46,8.34,2.47,4.66,7.01,2.69,3.01,41.89
2002,2.48,1.67,4.22,5.47,7.46,3.11,1.65,1.42,3.7,2.64,2.89,3.02,39.73
2003,1.27,3.45,3.72,2.55,6.39,2.36,8.01,4.64,10.37,2.68,3.64,3.48,52.56
2004,4.65,0.77,4.33,1.54,8.55,4.44,7.72,4.73,0.75,4.31,5.14,1.95,48.88
2005,9.39,2.59,1.14,4.69,2.51,3.59,2.98,4.2,4.67,1.64,3.64,2.69,43.73
2006,3.3,1.89,6.79,3.63,4.34,5.63,3.98,3.01,3.53,5.45,4.25,5.24,51.04
2007,4.41,2.77,4.91,3.3,1.97,2.22,1.9,3.43,1.59,2.8,1.85,5.55,36.7
2008,2.14,4.34,7.49,1.54,5.54,8,6.58,1.83,2.04,1.97,1.97,5.58,49.02
2009,1.72,2.69,2.28,7.23,6.69,6.6,4.6,4.94,1.86,5.59,1.16,3.3,48.66
2010,1.22,0.97,3.09,2.97,4.43,9.73,2.87,0.37,0.56,1.32,4.46,1.86,33.85
2011,2.2,5.25,3.73,7.98,4.97,5.76,0.47,1.11,5.37,2.82,4.87,5.1,49.63
2012,3.48,1.38,4.14,3.36,2.7,0.09,0.83,6.51,7.73,3.87,1.33,2.58,38
2013,5.51,2.27,1.96,8.59,3.5,3.66,3.29,1.15,2.86,5.46,3.23,4.44,45.92
2014,2.34,2.45,2.38,5.39,4.87,7.04,3.1,2.95,2.53,3.17,2.8,2.55,41.57
2015,1.81,1.34,3.53,4,2.45,8.36,13.14,1.55,1.7,1.82,2.86,5.59,48.15
2016,1.46,2.25,4.2,5.86,3.74,4.53,5.66,7.32,4.67,1.96,2.77,1.52,45.94
2017,4.35,1.1,4.72,5.6,8.51,6.53,6.18,1.77,0.66,2.95,3.96,1.12,47.75
2018,2,4.65,4.07,5.41,1.42,3.99,3,4.28,5.46,2.45,3.54,3.79,44.06
